106.75.189.35 - - [13/Apr/2022:00:06:25 +0900] "GET / HTTP/1.0" 404 750
106.75.177.238 - - [13/Apr/2022:00:07:13 +0900] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [13/Apr/2022:00:54:55 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/05_%EC%9D%B4%EB%AF%B8%EC%A7%80%EB%B2%84%ED%8A%BC_link/images/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:00:54:55 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/05_%EC%9D%B4%EB%AF%B8%EC%A7%80%EB%B2%84%ED%8A%BC_link/css/styles.css HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [13/Apr/2022:00:54:55 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/05_%EC%9D%B4%EB%AF%B8%EC%A7%80%EB%B2%84%ED%8A%BC_link/images/instagram.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:00:54:55 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/05_%EC%9D%B4%EB%AF%B8%EC%A7%80%EB%B2%84%ED%8A%BC_link/images/github.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:00:55:04 +0900] "GET /WebApp07/practice/Test003.html HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [13/Apr/2022:00:55:21 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [13/Apr/2022:00:55:47 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [13/Apr/2022:00:55:55 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [13/Apr/2022:00:56:08 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [13/Apr/2022:00:56:22 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [13/Apr/2022:00:57:11 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [13/Apr/2022:00:57:20 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [13/Apr/2022:00:57:58 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:01:09 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:01:30 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:01:33 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:01:40 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:01:42 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:02:03 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:02:05 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:02:16 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:02:19 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:02:23 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:02:44 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:03:01 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 200 986
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:03:20 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:05:31 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 200 1184
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:06:05 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:06:07 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:06:10 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:06:24 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:10:39 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:10:43 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:10:47 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:11:30 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [13/Apr/2022:01:11:32 +0900] "GET /WebApp07/practice/02_webPublishing_codeit/Test003.html HTTP/1.1" 304 -
127.0.0.1 - - [13/Apr/2022:09:17:28 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:17:28 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:17:28 +0900] "GET /WebApp07/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:17:28 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:21:18 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:26:40 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 200 3206
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:36:26 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 200 3293
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:36:38 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:39:09 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:39:11 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 500 2409
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:39:42 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 500 2409
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:41:52 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:46:23 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 200 3646
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:46:28 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:46:31 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:46:35 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:46:36 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 500 2409
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:46:39 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:47:31 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 200 3690
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:47:49 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:47:54 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 500 2409
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:47:57 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:48:07 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:48:46 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:50:33 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:50:35 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 500 2394
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:53:18 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 200 3694
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:53:19 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:53:22 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 500 2409
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:54:30 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 200 3682
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:54:32 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:54:33 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 500 2409
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:55:26 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:57:53 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 200 3680
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:57:55 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:58:13 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:58:17 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:58:18 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:58:22 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:58:24 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 500 2409
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:58:27 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:00:40 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 200 3724
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:00:45 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:07:26 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 200 3798
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:07:52 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:07:57 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:08:05 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 200 3771
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:08:06 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:08:07 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:09:29 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 200 3921
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:09:32 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:10:23 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 200 3930
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:10:26 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:10:28 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:10:55 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 200 3975
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:11:25 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 200 3973
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:12:44 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 200 3968
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:12:48 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:13:55 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 200 3894
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:14:05 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:14:16 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 500 2409
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:23:43 +0900] "GET /WebApp07/Send04_teacher.html HTTP/1.1" 200 4428
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:25:27 +0900] "GET /WebApp07/Send04_teacher.html HTTP/1.1" 200 4551
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:25:36 +0900] "GET /WebApp07/Send04_teacher.html HTTP/1.1" 200 4569
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:29:40 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:29:42 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:29:49 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 500 2409
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:32:28 +0900] "GET /WebApp07/Send04_teacher.html HTTP/1.1" 200 4341
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:32:32 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 500 2409
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:33:06 +0900] "GET /WebApp07/Send04_teacher.html HTTP/1.1" 200 4349
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:33:08 +0900] "POST /WebApp07/Receive04_teacher.jsp HTTP/1.1" 500 2449
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:34:23 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:34:30 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:35:30 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:35:31 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:35:38 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:37:53 +0900] "GET /WebApp07/Send04_teacher.html HTTP/1.1" 200 4469
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:37:56 +0900] "POST /WebApp07/Receive04_teacher.jsp HTTP/1.1" 500 2449
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:39:00 +0900] "GET /WebApp07/Send04_teacher.html HTTP/1.1" 200 4686
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:39:49 +0900] "GET /WebApp07/Send04_teacher.html HTTP/1.1" 200 4836
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:39:50 +0900] "POST /WebApp07/Receive04_teacher.jsp HTTP/1.1" 500 2449
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:44:21 +0900] "GET /WebApp07/Send04_teacher.html HTTP/1.1" 200 5725
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:44:22 +0900] "GET /WebApp07/Send04_teacher.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:44:22 +0900] "POST /WebApp07/Receive04_teacher.jsp HTTP/1.1" 500 2449
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:44:39 +0900] "GET /WebApp07/Send04_teacher.html HTTP/1.1" 200 5787
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:48:36 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 500 2410
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:48:36 +0900] "GET /WebApp07/Send04_teacher.html HTTP/1.1" 200 6306
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:48:38 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 500 2410
0:0:0:0:0:0:0:1 - - [13/Apr/2022:10:48:44 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 500 2410
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:00:25 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:00:27 +0900] "GET /WebApp07/Send04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:00:35 +0900] "POST /WebApp07/Receive04.jsp HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:05:02 +0900] "GET /WebApp07/Send04_teacher.html HTTP/1.1" 200 6670
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:06:37 +0900] "GET /WebApp07/Send04_teacher.html HTTP/1.1" 200 6923
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:12:56 +0900] "GET /WebApp07/Send04_teacher.html HTTP/1.1" 200 7753
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:12:58 +0900] "POST /WebApp07/Receive04_teacher.jsp HTTP/1.1" 500 2449
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:13:01 +0900] "POST /WebApp07/Receive04_teacher.jsp HTTP/1.1" 500 2449
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:13:33 +0900] "GET /WebApp07/Send04_teacher.html HTTP/1.1" 200 7754
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:13:34 +0900] "POST /WebApp07/Receive04_teacher.jsp HTTP/1.1" 500 2449
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:13:36 +0900] "POST /WebApp07/Receive04_teacher.jsp HTTP/1.1" 500 2449
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:13:41 +0900] "GET /WebApp07/Send04_teacher.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:16:28 +0900] "GET /WebApp07/Send04_teacher.html HTTP/1.1" 200 7745
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:23:24 +0900] "GET /WebApp07/Send04_teacher.html HTTP/1.1" 200 8055
